,Casos policiales,,,,,,Ruidos molestos,,,,,,,,,,,,,Consumo de alcohol vía pública,,,,,,,,,,,,,Ebriedad,,,,,,,,,,,,,Hurtos,,,,,,,,,,,,,Otros robos con fuerza,,,,,,,,,,,,,Riña pública,,,,,,,,,,,,,Violencia intrafamiliar,,,,,,,,,,,,,Abusos y violaciones,,,,,,,,,,,,,Amenazas,,,,,,,,,,,,,Daños,,,,,,,,,,,,,Lesiones,,,,,,,,,,,,,Robo y receptación,,,,,,,,,,
,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,
,Unidad Territorial,,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,
,Comuna,Provincia,Región,,Unidad Territorial,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
1,Santiago,Santiago,Metropolitana de Santiago,,Santiago,1,1,2,31,1,0,0,1,0,0,0,1,,96,125,109,32,26,25,25,75,101,301,430,421,,14,16,19,4,11,6,20,8,6,20,22,12,,598,576,403,125,153,138,169,178,258,343,300,324,,40,52,39,20,26,23,26,17,19,31,27,18,,17,18,9,6,3,6,10,17,11,11,13,18,,168,157,139,102,114,103,113,158,166,150,169,147,,60,39,43,20,22,10,25,22,41,37,36,37,,282,232,231,114,110,114,163,202,204,210,217,190,,583,732,708,162,222,175,248,299,533,527,343,449,,256,218,229,78,73,74,83,114,132,180,179,151,,1.904,1.792,1.569,912,842,902,876,747,796,1.125,1.095,971
2,Cerrillos,Santiago,Metropolitana de Santiago,,Cerrillos,0,0,0,0,0,0,0,0,0,0,0,0,,2,5,4,21,3,6,1,13,14,49,27,13,,6,2,4,0,2,0,0,3,6,2,2,1,,85,70,59,30,34,29,17,23,48,55,55,46,,4,8,4,9,7,3,3,6,5,5,5,6,,1,0,1,0,0,0,2,0,0,0,0,2,,52,45,47,43,57,37,32,53,46,51,45,48,,5,10,7,2,1,4,8,3,13,14,10,5,,60,52,55,38,41,45,46,50,48,50,54,58,,71,54,59,45,39,29,43,45,75,46,65,73,,30,25,31,20,22,19,22,23,28,24,30,27,,227,233,215,207,161,148,162,115,119,129,115,158
3,Cerro Navia,Santiago,Metropolitana de Santiago,,Cerro Navia,0,0,0,2,0,0,0,0,0,0,0,0,,3,1,3,2,1,5,15,5,6,4,3,0,,1,0,1,2,1,1,0,1,1,1,0,0,,14,9,17,14,8,7,18,7,15,10,10,8,,1,1,2,1,0,0,1,0,1,2,3,1,,3,0,1,0,1,0,0,1,0,0,1,3,,91,83,58,52,56,52,70,79,82,88,83,74,,16,12,9,8,13,7,7,5,16,8,26,14,,90,76,80,68,58,59,93,104,101,99,87,111,,46,27,34,33,32,24,35,28,37,41,50,37,,39,53,41,26,30,26,40,33,39,55,50,46,,173,199,184,141,133,114,140,118,87,98,108,88
4,Conchalí,Santiago,Metropolitana de Santiago,,Conchalí,0,0,0,0,0,0,0,0,0,0,0,0,,4,8,0,2,20,0,10,26,30,24,32,18,,1,1,1,6,2,2,7,1,2,2,2,1,,31,45,33,19,15,24,23,16,20,21,23,17,,4,2,1,0,2,7,4,2,2,1,2,1,,4,1,2,0,2,2,2,4,1,0,1,2,,84,68,75,52,41,45,43,64,63,71,58,67,,22,14,10,7,3,5,12,3,4,20,7,15,,121,77,83,77,71,60,81,73,102,88,99,86,,70,45,45,39,33,19,34,37,54,54,47,64,,57,46,29,31,36,24,22,32,60,49,29,42,,300,292,322,216,207,217,221,135,151,163,168,164
5,El Bosque,Santiago,Metropolitana de Santiago,,El Bosque,0,0,0,0,7,6,2,0,0,0,1,0,,18,19,23,6,2,14,5,8,14,11,41,43,,2,3,4,1,3,1,4,1,1,2,1,0,,60,64,34,28,35,31,43,33,34,49,56,38,,2,1,1,1,0,0,0,0,2,1,2,0,,0,0,2,1,0,1,1,1,0,2,0,1,,116,83,65,43,45,61,60,62,73,82,81,92,,12,25,10,4,11,4,4,9,19,14,6,5,,125,119,97,65,72,50,79,101,117,143,155,114,,55,61,55,29,26,28,40,41,51,46,49,53,,56,44,62,35,36,28,33,40,45,62,40,47,,259,229,245,209,175,185,180,148,157,183,169,145
6,Estación Central,Santiago,Metropolitana de Santiago,,Estación Central,0,0,1,6,0,0,0,0,0,0,0,0,,4,4,4,28,18,20,18,21,27,33,23,43,,2,1,5,1,3,6,2,4,1,3,2,2,,250,280,187,58,39,39,56,49,82,133,163,148,,4,2,7,4,7,9,3,3,3,8,7,10,,7,6,7,3,1,1,2,2,2,4,5,7,,72,64,61,49,48,33,61,85,88,81,86,88,,24,15,12,4,4,6,14,7,9,10,14,14,,88,89,75,69,55,48,61,73,71,86,111,90,,133,107,124,196,180,91,79,78,94,158,117,180,,55,61,48,49,20,28,25,43,54,50,66,57,,631,663,676,386,267,275,283,223,217,273,334,313
7,Huechuraba,Santiago,Metropolitana de Santiago,,Huechuraba,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,2,14,5,3,19,7,7,4,4,,0,0,0,1,1,2,4,4,2,2,1,0,,89,98,66,40,40,22,29,21,19,33,43,39,,3,0,0,1,2,3,2,1,0,0,3,1,,1,0,1,1,0,0,0,1,1,0,1,2,,63,35,53,26,27,25,33,38,60,41,52,39,,10,7,8,3,2,3,3,6,10,5,5,6,,75,51,47,55,40,44,35,61,48,67,60,55,,55,60,68,27,27,21,41,50,40,53,41,51,,37,27,29,17,14,10,22,19,25,19,29,19,,262,271,211,184,126,120,85,71,77,79,101,81
