"Santiago",168,157,139,102,114,103,113,158,166,150,169,147
"Cerrillos",52,45,47,43,57,37,32,53,46,51,45,48
"Cerro Navia",91,83,58,52,56,52,70,79,82,88,83,74
"Conchalí",84,68,75,52,41,45,43,64,63,71,58,67
"El Bosque",116,83,65,43,45,61,60,62,73,82,81,92
"Estación Central",72,64,61,49,48,33,61,85,88,81,86,88
"Huechuraba",63,35,53,26,27,25,33,38,60,41,52,39
"Independencia",76,69,60,44,33,32,42,45,59,48,47,60
"La Cisterna",56,30,56,43,33,23,27,42,44,42,42,47
"La Florida",180,149,170,109,109,97,125,158,138,185,179,176
"La Granja",70,71,65,40,44,43,52,61,87,73,64,53
"La Pintana",143,106,88,79,74,53,81,94,129,103,125,133
"La Reina",33,26,34,18,17,21,19,36,34,21,33,27
"Las Condes",59,56,47,44,45,23,50,54,71,55,60,63
"Lo Barnechea",35,20,24,21,22,19,19,15,29,33,30,32
"Lo Espejo",50,36,33,33,37,33,32,31,45,45,55,51
"Lo Prado",71,58,59,48,70,43,41,63,73,55,61,76
"Macul",60,51,52,47,48,45,60,54,58,48,49,49
"Maipú",196,200,244,187,156,147,173,208,242,264,275,271
"Ñuñoa",84,62,67,67,63,46,57,73,77,66,73,67
"Pedro Aguirre Cerda",67,54,45,23,45,28,44,43,53,49,54,53
"Peñalolén",142,122,102,90,77,70,93,92,118,111,150,119
"Providencia",39,25,27,32,32,24,31,29,42,33,40,28
"Pudahuel",133,119,113,72,96,83,112,121,128,113,132,152
"Quilicura",103,74,113,84,70,60,83,85,86,105,90,93
"Quinta Normal",82,79,54,51,47,41,49,41,65,60,59,82
"Recoleta",88,75,74,64,47,50,41,85,80,76,73,77
"Renca",81,87,51,55,60,43,61,67,83,82,73,109
"San Joaquín",39,32,27,27,34,21,50,42,58,41,54,40
"San Miguel",49,57,59,41,34,26,39,49,59,46,57,55
"San Ramón",43,55,33,22,23,20,39,48,38,50,59,53
"Vitacura",8,14,12,11,11,10,8,9,19,13,15,12
"Puente Alto",416,334,322,270,308,217,322,352,326,342,333,390
"Pirque",16,10,19,3,6,6,16,18,19,18,7,12
"San José de Maipo",18,16,13,8,7,12,6,11,10,18,16,17
"Colina",85,82,53,62,76,55,48,88,80,82,93,91
"Lampa",62,55,66,62,60,54,55,55,72,68,69,65
"Tiltil",3,8,11,7,2,4,6,6,6,9,16,4
"San Bernardo",233,190,206,131,102,110,143,161,229,236,229,245
"Buin",66,63,83,46,50,44,57,56,68,60,65,58
"Calera de Tango",14,11,11,3,9,14,14,12,14,12,17,15
"Paine",32,44,34,39,31,24,43,42,46,41,50,39
"Melipilla",109,80,96,80,111,68,81,101,92,98,104,93
"Alhué",4,1,4,2,1,2,6,5,5,5,7,6
"Curacaví",27,16,20,18,14,16,19,18,19,16,25,18
"María Pinto",9,3,7,2,15,2,11,8,5,9,7,6
"San Pedro",14,7,3,10,9,3,6,6,6,9,5,8
"Talagante",44,53,34,43,36,23,38,40,36,44,50,52
"El Monte",29,15,16,22,23,14,14,17,34,20,11,21
"Isla de Maipo",24,22,20,15,15,19,15,10,19,15,16,27
"Padre Hurtado",62,33,46,38,37,43,37,51,43,44,59,45
"Peñaflor",51,54,49,57,53,37,54,43,54,41,44,65
