"Santiago",1.904,1.792,1.569,912,842,902,876,747,796,1.125,1.095,971
"Cerrillos",227,233,215,207,161,148,162,115,119,129,115,158
"Cerro Navia",173,199,184,141,133,114,140,118,87,98,108,88
"Conchalí",300,292,322,216,207,217,221,135,151,163,168,164
"El Bosque",259,229,245,209,175,185,180,148,157,183,169,145
"Estación Central",631,663,676,386,267,275,283,223,217,273,334,313
"Huechuraba",262,271,211,184,126,120,85,71,77,79,101,81
"Independencia",299,269,261,211,160,176,178,138,134,157,181,152
"La Cisterna",286,303,285,269,192,186,190,138,147,181,190,188
"La Florida",746,794,768,645,512,443,423,279,324,410,427,403
"La Granja",224,228,250,179,144,156,159,95,144,145,130,118
"La Pintana",243,240,211,220,197,205,199,130,166,159,157,144
"La Reina",217,182,163,98,109,90,95,92,97,99,100,96
"Las Condes",519,399,358,148,204,163,203,201,231,281,292,251
"Lo Barnechea",100,55,67,44,77,34,50,50,58,67,53,61
"Lo Espejo",249,233,190,210,181,159,205,136,124,143,139,141
"Lo Prado",181,201,193,167,108,90,108,72,75,108,94,92
"Macul",244,233,291,220,196,172,134,118,108,153,169,130
"Maipú",778,739,831,775,602,498,512,393,427,499,462,522
"Ñuñoa",602,597,542,265,323,264,293,281,275,387,405,323
"Pedro Aguirre Cerda",171,145,179,177,146,124,116,109,113,119,91,122
"Peñalolén",350,325,304,290,227,214,228,195,176,247,212,187
"Providencia",644,625,428,226,262,168,195,164,227,366,353,316
"Pudahuel",495,498,497,396,346,318,313,245,213,239,243,249
"Quilicura",460,448,459,348,275,280,280,180,213,266,265,253
"Quinta Normal",399,381,362,289,157,202,248,156,169,225,173,195
"Recoleta",572,535,478,479,352,331,344,224,247,322,313,269
"Renca",324,324,320,266,187,212,188,151,143,146,149,127
"San Joaquín",219,197,207,172,125,128,148,121,120,126,108,97
"San Miguel",364,376,438,389,236,236,286,172,170,217,234,195
"San Ramón",123,140,155,106,83,89,105,73,72,78,97,78
"Vitacura",229,188,211,131,118,63,96,85,119,133,143,121
"Puente Alto",742,756,744,558,565,553,566,406,387,482,455,495
"Pirque",16,26,25,19,36,20,8,14,8,12,15,24
"San José de Maipo",49,40,32,10,6,10,9,2,6,19,19,23
"Colina",240,186,207,193,198,141,171,120,126,130,158,147
"Lampa",192,161,148,152,142,177,179,126,106,128,112,130
"Tiltil",26,24,23,19,23,25,27,21,13,33,19,15
"San Bernardo",658,643,635,616,491,505,483,349,382,435,380,413
"Buin",120,102,136,108,109,91,71,30,62,74,81,63
"Calera de Tango",46,31,32,41,30,22,27,18,18,39,22,19
"Paine",62,83,62,70,70,63,51,48,49,43,46,50
"Melipilla",236,159,170,162,224,168,169,134,150,129,134,129
"Alhué",5,4,4,4,7,4,7,3,1,2,3,6
"Curacaví",32,36,49,35,42,23,23,20,19,38,19,27
"María Pinto",15,9,8,14,11,9,8,7,13,12,6,4
"San Pedro",17,17,10,15,9,4,10,16,22,11,9,11
"Talagante",63,87,52,73,72,45,37,30,38,49,47,41
"El Monte",22,32,26,20,36,20,27,15,27,18,18,17
"Isla de Maipo",25,20,19,22,26,22,12,8,13,12,16,9
"Padre Hurtado",76,54,53,50,44,49,49,34,41,51,46,37
"Peñaflor",97,95,89,87,100,79,60,40,59,77,49,47
