"Santiago",954,697,962,789,606,598,606,807,1017,979,840,408
"Cerrillos",50,23,48,14,11,31,60,71,44,25,43,46
"Cerro Navia",57,31,57,51,41,42,22,37,31,61,50,30
"Conchalí",38,60,126,92,45,64,75,55,22,67,40,16
"El Bosque",55,49,54,83,164,226,105,78,57,92,53,44
"Estación Central",307,221,387,264,204,148,121,143,79,61,61,67
"Huechuraba",36,24,54,35,14,8,10,11,48,76,35,4
"Independencia",122,144,188,238,77,80,116,225,284,197,212,162
"La Cisterna",13,15,22,23,21,9,19,26,12,11,24,16
"La Florida",114,108,201,281,227,138,113,233,114,155,147,200
"La Granja",14,47,68,55,27,36,58,37,28,39,43,46
"La Pintana",29,24,30,17,10,74,12,34,45,77,42,36
"La Reina",40,48,67,69,53,38,31,45,36,31,23,39
"Las Condes",137,193,147,182,104,60,99,138,102,221,109,165
"Lo Barnechea",49,55,19,10,11,6,4,9,31,130,231,259
"Lo Espejo",6,3,3,9,7,12,4,10,13,22,7,5
"Lo Prado",115,94,45,151,83,89,84,107,105,114,120,63
"Macul",46,57,84,42,19,2,26,167,257,307,287,185
"Maipú",71,79,166,123,138,121,128,106,135,186,200,338
"Ñuñoa",222,328,396,493,507,158,347,306,317,335,215,300
"Pedro Aguirre Cerda",97,64,57,63,36,49,42,37,39,36,25,40
"Peñalolén",44,115,102,76,64,62,54,116,125,76,102,119
"Providencia",389,328,328,126,100,72,125,83,181,193,213,199
"Pudahuel",230,199,254,128,100,83,55,165,92,163,189,104
"Quilicura",88,54,97,63,37,40,31,61,73,69,28,20
"Quinta Normal",61,61,59,37,18,26,28,50,32,67,48,76
"Recoleta",117,119,195,226,370,469,358,280,338,504,426,544
"Renca",29,55,42,26,24,13,23,31,21,20,32,19
"San Joaquín",69,47,35,39,17,13,22,23,9,23,42,13
"San Miguel",27,30,28,21,19,24,25,11,50,36,34,49
"San Ramón",1,6,8,6,2,4,1,2,2,0,5,1
"Vitacura",51,14,53,50,43,51,12,38,28,27,16,15
"Puente Alto",342,207,240,337,160,285,361,215,167,183,182,174
"Pirque",6,13,11,1,4,8,3,16,28,9,4,19
"San José de Maipo",19,42,80,59,19,27,15,30,30,16,33,48
"Colina",28,23,36,54,37,24,15,9,9,27,10,12
"Lampa",55,120,73,40,36,55,52,26,23,44,31,77
"Tiltil",14,5,31,14,6,4,6,4,3,13,6,10
"San Bernardo",82,80,77,106,101,60,73,164,82,108,79,95
"Buin",94,226,171,145,156,142,121,69,79,63,79,48
"Calera de Tango",4,11,2,8,2,13,20,7,5,8,10,28
"Paine",31,21,66,43,55,58,74,39,47,30,74,64
"Melipilla",239,206,289,236,249,223,207,217,190,161,111,60
"Alhué",17,20,21,16,3,2,7,11,10,7,19,19
"Curacaví",22,10,32,22,32,14,11,31,28,37,55,48
"María Pinto",2,1,1,1,1,2,3,2,4,2,6,1
"San Pedro",0,1,1,0,0,0,0,0,0,0,0,0
"Talagante",58,66,118,150,105,59,51,62,88,99,76,64
"El Monte",42,92,155,145,125,87,68,103,84,104,135,155
"Isla de Maipo",93,124,138,153,105,81,121,88,193,199,241,276
"Padre Hurtado",88,45,81,53,42,26,55,56,17,58,81,71
"Peñaflor",63,52,59,21,12,40,41,85,56,80,54,45
