"Santiago",,"Ruidos molestos",,,,,,,,,,
"Cerrillos",2017,,,,,,,,,,,
"Cerro Navia","TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"Ruidos molestos",,,,,,,,,,
,2019,,,,,,,,,,,
,"TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,1,2,3,4,5,6,7,8,9,10,11,12
,11,11,8,8,7,5,7,13,11,5,1,1
,5,1,2,5,5,3,2,3,2,1,1,0
,1,1,0,0,0,2,0,0,1,0,0,0
,0,0,1,0,0,0,0,0,0,0,0,1
,4,1,1,0,2,1,1,2,0,0,0,1
,6,2,5,5,4,3,3,9,2,0,2,1
,0,0,0,1,0,0,0,0,0,0,0,1
,12,19,8,8,6,6,8,9,8,8,6,7
,2,3,0,3,1,5,2,0,3,0,0,1
,19,11,14,9,17,10,10,17,14,4,12,4
,1,1,3,1,3,2,1,6,2,5,5,2
,2,2,0,0,0,1,1,2,1,0,1,0
,2,2,2,4,4,6,1,4,0,1,0,0
,5,11,12,12,16,13,14,12,7,13,5,7
,4,1,5,1,4,8,2,2,2,3,4,2
,0,0,1,1,0,1,2,0,2,1,0,1
,3,2,11,6,7,5,3,3,0,2,5,2
,0,0,0,3,0,2,1,0,0,0,0,0
,7,13,17,13,13,17,22,16,18,11,9,11
,16,13,16,18,25,22,23,14,9,12,6,1
,0,0,1,0,0,0,0,0,1,1,0,0
,2,4,1,1,1,2,4,5,2,3,1,0
,3,3,2,1,4,1,6,2,1,4,2,0
,0,1,8,5,6,2,4,9,5,8,11,0
,1,0,1,0,1,0,4,1,2,2,0,0
,2,7,4,5,12,6,3,5,4,4,0,6
,2,1,1,0,10,4,4,5,9,0,4,0
,3,2,5,3,3,0,0,1,3,2,6,1
,6,4,1,1,3,2,4,6,4,2,8,6
,3,2,4,3,4,2,1,8,3,6,1,2
,1,0,1,1,1,1,0,4,3,4,0,1
,3,2,1,1,1,2,1,2,1,0,0,0
,13,27,26,27,19,23,10,16,25,16,7,15
,4,2,4,3,3,2,7,5,5,1,3,1
,3,3,2,2,4,0,2,1,0,4,1,2
,0,5,1,1,1,1,4,5,5,4,4,4
,1,0,2,0,0,2,1,2,1,3,1,1
,1,2,0,0,0,2,0,1,1,0,2,1
,0,1,4,2,2,3,5,4,2,3,4,0
,9,10,12,14,13,8,10,13,19,11,4,6
,4,0,4,4,3,1,5,1,0,0,1,1
,6,0,4,2,0,2,1,3,6,1,3,9
,3,3,3,2,1,0,1,3,3,0,1,0
,1,1,0,0,1,0,0,1,0,1,1,0
,1,6,0,1,0,0,1,0,1,1,0,0
,2,1,1,0,0,0,0,1,2,0,1,0
,0,0,0,1,0,0,1,2,0,0,0,0
,12,9,3,14,5,9,3,2,4,2,3,3
,6,2,5,4,3,7,2,4,9,6,4,1
,2,9,7,0,1,2,2,1,3,0,1,2
,4,3,5,3,1,3,2,4,3,1,2,3
,3,3,1,3,0,3,5,3,5,4,2,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2019,,,,,,,,,,,
,"TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,1,2,3,4,5,6,7,8,9,10,11,12
,1.141,1.205,1.209,1.021,1.175,1.103,1.108,1.211,1.229,985,925,789
,201,207,220,202,217,202,196,232,214,160,135,109
,126,120,136,119,160,134,134,160,120,102,90,59
,20,32,32,32,26,25,19,22,30,21,11,18
,2,7,3,1,1,5,5,8,7,7,7,6
,19,11,24,22,18,14,21,21,27,15,12,16
,7,11,4,4,2,0,3,7,6,2,3,0
,27,26,21,24,10,24,14,14,24,13,12,10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"Ruidos molestos",,,,,,,,,,
,2019,,,,,,,,,,,
,"TRIM 1",,,"TRIM 2",,,"TRIM 3",,,"TRIM 4",,
,1,2,3,4,5,6,7,8,9,10,11,12
,11,11,8,8,7,5,7,13,11,5,1,1
,5,1,2,5,5,3,2,3,2,1,1,0
,1,1,0,0,0,2,0,0,1,0,0,0
,0,0,1,0,0,0,0,0,0,0,0,1
,4,1,1,0,2,1,1,2,0,0,0,1
,6,2,5,5,4,3,3,9,2,0,2,1
,0,0,0,1,0,0,0,0,0,0,0,1
,12,19,8,8,6,6,8,9,8,8,6,7
,2,3,0,3,1,5,2,0,3,0,0,1
,19,11,14,9,17,10,10,17,14,4,12,4
,1,1,3,1,3,2,1,6,2,5,5,2
,2,2,0,0,0,1,1,2,1,0,1,0
,2,2,2,4,4,6,1,4,0,1,0,0
,5,11,12,12,16,13,14,12,7,13,5,7
,4,1,5,1,4,8,2,2,2,3,4,2
,0,0,1,1,0,1,2,0,2,1,0,1
,3,2,11,6,7,5,3,3,0,2,5,2
,0,0,0,3,0,2,1,0,0,0,0,0
,7,13,17,13,13,17,22,16,18,11,9,11
,16,13,16,18,25,22,23,14,9,12,6,1
,0,0,1,0,0,0,0,0,1,1,0,0
,2,4,1,1,1,2,4,5,2,3,1,0
,3,3,2,1,4,1,6,2,1,4,2,0
,0,1,8,5,6,2,4,9,5,8,11,0
,1,0,1,0,1,0,4,1,2,2,0,0
,2,7,4,5,12,6,3,5,4,4,0,6
,2,1,1,0,10,4,4,5,9,0,4,0
,3,2,5,3,3,0,0,1,3,2,6,1
,6,4,1,1,3,2,4,6,4,2,8,6
,3,2,4,3,4,2,1,8,3,6,1,2
,1,0,1,1,1,1,0,4,3,4,0,1
