"Santiago",583,732,708,162,222,175,248,299,533,527,343,449
"Cerrillos",71,54,59,45,39,29,43,45,75,46,65,73
"Cerro Navia",46,27,34,33,32,24,35,28,37,41,50,37
"Conchalí",70,45,45,39,33,19,34,37,54,54,47,64
"El Bosque",55,61,55,29,26,28,40,41,51,46,49,53
"Estación Central",133,107,124,196,180,91,79,78,94,158,117,180
"Huechuraba",55,60,68,27,27,21,41,50,40,53,41,51
"Independencia",71,46,39,48,41,25,34,46,54,72,48,59
"La Cisterna",60,44,74,30,36,21,36,36,45,57,61,60
"La Florida",219,179,188,124,97,75,102,118,127,155,173,168
"La Granja",77,67,91,59,52,46,52,72,87,85,82,70
"La Pintana",78,80,77,43,34,36,35,51,58,73,72,55
"La Reina",45,35,39,24,25,31,21,32,35,40,54,53
"Las Condes",134,109,112,50,58,38,54,76,91,145,122,118
"Lo Barnechea",41,26,18,17,37,19,12,19,29,39,52,36
"Lo Espejo",40,46,44,32,29,36,39,48,45,42,49,44
"Lo Prado",67,37,56,38,26,27,27,21,36,43,45,45
"Macul",87,58,76,34,26,26,35,40,45,59,51,54
"Maipú",277,185,249,131,126,102,151,168,209,231,265,287
"Ñuñoa",147,154,108,54,62,49,65,76,95,109,110,100
"Pedro Aguirre Cerda",63,61,66,30,39,24,51,62,63,62,52,49
"Peñalolén",108,84,121,99,82,52,86,79,85,111,97,96
"Providencia",203,200,181,57,55,57,53,69,135,178,137,119
"Pudahuel",130,110,107,67,57,44,80,73,89,91,88,99
"Quilicura",85,73,85,61,48,62,54,47,77,97,84,76
"Quinta Normal",74,66,83,36,37,27,42,45,46,46,59,46
"Recoleta",126,102,98,63,45,40,68,76,76,135,98,79
"Renca",84,58,88,29,36,46,35,50,67,63,65,62
"San Joaquín",41,32,41,31,37,20,20,27,36,39,34,44
"San Miguel",88,67,94,67,91,67,54,63,67,89,66,73
"San Ramón",36,25,33,18,34,16,28,24,35,41,27,43
"Vitacura",57,31,38,22,19,15,21,35,30,32,29,38
"Puente Alto",269,241,289,149,184,155,168,182,207,306,289,285
"Pirque",11,16,13,12,31,36,24,16,17,18,29,25
"San José de Maipo",27,25,39,14,11,10,9,8,15,19,26,17
"Colina",100,68,79,44,60,41,41,54,77,71,80,87
"Lampa",44,47,49,39,40,24,42,42,62,41,46,43
"Tiltil",7,17,6,10,8,13,15,12,25,33,13,7
"San Bernardo",254,188,234,245,131,157,105,136,157,199,202,161
"Buin",72,61,85,89,80,109,84,69,85,100,106,83
"Calera de Tango",18,15,21,12,12,4,17,10,13,21,14,22
"Paine",45,45,34,35,59,34,77,42,58,53,48,51
"Melipilla",104,97,112,85,100,79,77,94,98,114,91,96
"Alhué",9,7,10,4,3,3,9,4,3,11,5,13
"Curacaví",22,24,35,16,14,11,14,20,28,25,36,26
"María Pinto",1,2,5,23,10,5,8,15,22,8,9,8
"San Pedro",10,11,8,7,9,6,6,17,11,12,9,11
"Talagante",56,43,45,42,119,76,96,102,70,77,66,79
"El Monte",16,14,16,15,217,78,64,65,77,59,47,35
"Isla de Maipo",20,16,18,53,222,154,163,100,135,88,53,68
"Padre Hurtado",39,31,37,33,24,20,20,28,31,50,52,39
"Peñaflor",47,35,63,36,38,35,22,34,33,35,37,35
